date,entry_time,entry_price,predicted_close,actual_close,direction,pnl_pct,pnl_rupees,capital_end_of_day
2026-07-06,09:15,821.0,815.0056,828.0,SHORT,-0.8526187576126675,-85.26187576126675,9914.738124238733
2026-07-07,09:15,836.45,836.19037,827.5,SHORT,1.0699982067069216,106.99982067069215,10106.999820670691
2026-07-08,09:15,830.6,830.18274,809.45,SHORT,2.546352034673727,254.63520346737272,10254.635203467373
2026-07-09,09:15,816.1,813.6348,817.0,SHORT,-0.11028060286729288,-11.02806028672929,9988.97193971327
2026-07-10,09:15,823.5,812.2511,824.5,SHORT,-0.12143290831815423,-12.143290831815422,9987.856709168185
2026-07-13,09:15,817.6,819.10956,817.25,LONG,-0.04280821917808497,-4.280821917808497,9995.719178082192
2026-07-14,09:15,816.3,821.3874,809.0,LONG,-0.8942790640695768,-89.42790640695767,9910.572093593042
2026-07-15,09:15,817.15,811.9148,815.0,SHORT,0.26310958820289754,26.310958820289756,10026.31095882029
2026-07-16,09:15,812.05,812.1932,808.45,LONG,-0.4433224555138119,-44.33224555138119,9955.66775444862
2026-07-17,09:15,817.2,813.1055,820.8,SHORT,-0.44052863436122236,-44.05286343612223,9955.947136563878
