date,entry_price,actual_close,predicted_close,error,direction,pnl_pct,pnl_rupees,capital_end_of_day
2026-07-06,829.6,828.0,829.2196,1.2196044921875,SHORT,0.1928640308582477,19.28640308582477,10019.286403085825
2026-07-07,830.4,827.5,830.68854,3.18853759765625,LONG,-0.34922928709055606,-34.922928709055604,9965.077071290945
2026-07-08,827.5,809.45,828.00543,18.555432128906205,LONG,-2.181268882175221,-218.1268882175221,9781.873111782477
2026-07-09,821.1,817.0,821.7887,4.7886962890625,LONG,-0.49933016684935116,-49.93301668493512,9950.066983315064
2026-07-10,824.1,824.5,823.82434,-0.6756591796875,SHORT,-0.04853779881082117,-4.853779881082117,9995.146220118919
2026-07-13,818.95,817.25,818.5288,1.27880859375,SHORT,0.20758288051774165,20.758288051774166,10020.758288051775
2026-07-14,811.95,809.0,812.23883,3.23883056640625,LONG,-0.36332286470842357,-36.332286470842355,9963.667713529157
2026-07-15,811.25,815.0,811.6386,-3.36138916015625,LONG,0.46224961479198773,46.224961479198775,10046.224961479198
2026-07-16,809.75,808.45,809.7804,1.3303955078124543,LONG,-0.16054337758566897,-16.054337758566895,9983.945662241433
2026-07-17,818.7,820.8,818.35547,-2.4445312499999545,SHORT,-0.2565042139977903,-25.65042139977903,9974.34957860022
