,actual_close,predicted_close,error
2026-06-29,798.9,789.7514,-9.148596191406227
2026-06-30,797.95,798.9975,1.0474975585937045
2026-07-01,796.15,799.72675,3.5767456054687727
2026-07-02,795.9,806.2676,10.367578125000023
2026-07-03,801.05,801.2728,0.22282714843754547
2026-07-06,829.85,810.4576,-19.392419433593773
2026-07-07,829.3,830.42224,1.1222412109375455
2026-07-08,810.3,831.1734,20.873400878906295
2026-07-09,817.55,811.5649,-5.9851196289062045
2026-07-10,824.95,816.5576,-8.392382812500045
2026-07-13,817.95,822.8483,4.8983276367187045
2026-07-14,809.4,821.5295,12.129479980468773
2026-07-15,815.45,809.7614,-5.6885864257812955
2026-07-16,808.3,811.21063,2.9106323242187955
2026-07-17,819.6,806.58124,-13.018762207031273
2026-07-20,777.6,813.80536,36.20535888671873
2026-07-21,761.45,769.401,7.9510009765624545
2026-07-22,753.15,763.3194,10.169396972656273
2026-07-23,747.25,747.5691,0.319091796875
2026-07-24,742.8,745.09937,2.2993652343750455
