date,entry_time,entry_price,predicted_close,actual_close,direction,pnl_pct,pnl_rupees,capital_end_of_day
2026-07-06,11:15,827.5,824.18164,828.0,SHORT,-0.060422960725075525,-6.042296072507553,9993.957703927492
2026-07-07,11:15,836.85,839.20355,827.5,LONG,-1.117285057059213,-111.7285057059213,9888.271494294078
2026-07-08,11:15,826.6,827.5006,809.45,LONG,-2.0747640938785357,-207.47640938785355,9792.523590612147
2026-07-09,11:15,819.75,819.6548,817.0,SHORT,0.3354681305275999,33.54681305275999,10033.54681305276
2026-07-10,11:15,823.9,827.5528,824.5,LONG,0.07282437188979521,7.282437188979521,10007.28243718898
2026-07-13,11:15,818.85,821.3489,817.25,LONG,-0.1953959821701194,-19.53959821701194,9980.460401782988
2026-07-14,11:15,810.85,815.6244,809.0,LONG,-0.22815563914411083,-22.815563914411083,9977.184436085588
2026-07-15,11:15,819.0,815.8629,815.0,SHORT,0.4884004884004884,48.84004884004884,10048.84004884005
2026-07-16,11:15,811.8,812.32794,808.45,LONG,-0.4126632175412552,-41.266321754125514,9958.733678245875
2026-07-17,11:15,817.8,815.59717,820.8,SHORT,-0.36683785766691124,-36.68378576669112,9963.31621423331
