date,window_start,predict_from,predict_to,given_end_price,actual_close,predicted_close,hdfc_pred_dir,hdfc_actual_dir,hdfc_correct,nifty_pred_dir,agree
2026-07-06,09:15,11:10,11:20,822.5,823.5,823.0028,UP,UP,True,UP,True
2026-07-06,09:25,11:20,11:30,823.5,824.35,823.23645,DOWN,UP,False,DOWN,True
2026-07-06,09:35,11:30,11:40,824.35,825.45,823.9562,DOWN,UP,False,DOWN,True
2026-07-06,09:45,11:40,11:50,825.45,826.35,825.50476,UP,UP,True,UP,True
2026-07-06,09:55,11:50,12:00,826.35,827.6,825.72327,DOWN,UP,False,UP,False
2026-07-06,10:05,12:00,12:10,827.6,827.5,827.0341,DOWN,DOWN,True,DOWN,True
2026-07-06,10:15,12:10,12:20,827.5,827.55,827.33777,DOWN,UP,False,DOWN,True
2026-07-06,10:25,12:20,12:30,827.55,827.5,827.393,DOWN,DOWN,True,DOWN,True
2026-07-06,10:35,12:30,12:40,827.5,827.75,827.16077,DOWN,UP,False,DOWN,True
2026-07-06,10:45,12:40,12:50,827.75,827.05,827.3377,DOWN,DOWN,True,DOWN,True
2026-07-06,10:55,12:50,13:00,827.05,829.85,827.2049,UP,UP,True,DOWN,False
2026-07-06,11:05,13:00,13:10,829.85,829.6,829.30566,DOWN,DOWN,True,DOWN,True
2026-07-06,11:15,13:10,13:20,829.6,829.4,830.4967,UP,DOWN,False,UP,True
2026-07-06,11:25,13:20,13:30,829.4,829.7,828.5177,DOWN,UP,False,DOWN,True
2026-07-06,11:35,13:30,13:40,829.7,829.5,829.2314,DOWN,DOWN,True,DOWN,True
2026-07-06,11:45,13:40,13:50,829.5,829.9,829.9718,UP,UP,True,UP,True
2026-07-06,11:55,13:50,14:00,829.9,830.5,829.9214,UP,UP,True,UP,True
2026-07-06,12:05,14:00,14:10,830.5,828.65,830.37616,DOWN,DOWN,True,DOWN,True
2026-07-06,12:15,14:10,14:20,828.65,829.5,829.8282,UP,UP,True,UP,True
2026-07-06,12:25,14:20,14:30,829.5,830.35,829.526,UP,UP,True,DOWN,False
2026-07-06,12:35,14:30,14:40,830.35,830.25,829.7886,DOWN,DOWN,True,UP,False
2026-07-06,12:45,14:40,14:50,830.25,829.75,830.43,UP,DOWN,False,DOWN,False
2026-07-06,12:55,14:50,15:00,829.75,829.9,830.54877,UP,UP,True,UP,True
2026-07-06,13:05,15:00,15:10,829.9,830.35,829.36444,DOWN,UP,False,DOWN,True
2026-07-06,13:15,15:10,15:20,830.35,829.4,830.52124,UP,DOWN,False,UP,True
2026-07-07,09:15,11:10,11:20,837.45,835.9,836.389,DOWN,DOWN,True,DOWN,True
2026-07-07,09:25,11:20,11:30,835.9,836.35,836.19995,UP,UP,True,UP,True
2026-07-07,09:35,11:30,11:40,836.35,837.1,836.5156,UP,UP,True,DOWN,False
2026-07-07,09:45,11:40,11:50,837.1,837.75,836.2623,DOWN,UP,False,DOWN,True
2026-07-07,09:55,11:50,12:00,837.75,837.25,837.7961,UP,DOWN,False,DOWN,False
2026-07-07,10:05,12:00,12:10,837.25,836.85,836.90466,DOWN,DOWN,True,UP,False
2026-07-07,10:15,12:10,12:20,836.85,836.2,836.9098,UP,DOWN,False,UP,True
2026-07-07,10:25,12:20,12:30,836.2,835.65,835.99066,DOWN,DOWN,True,UP,False
2026-07-07,10:35,12:30,12:40,835.65,835.4,836.38275,UP,DOWN,False,UP,True
2026-07-07,10:45,12:40,12:50,835.4,834.8,835.24713,DOWN,DOWN,True,UP,False
2026-07-07,10:55,12:50,13:00,834.8,832.8,835.17926,UP,DOWN,False,DOWN,False
2026-07-07,11:05,13:00,13:10,832.8,830.4,834.3139,UP,DOWN,False,DOWN,False
2026-07-07,11:15,13:10,13:20,830.4,830.1,830.9215,UP,DOWN,False,DOWN,False
2026-07-07,11:25,13:20,13:30,830.1,830.25,830.106,UP,UP,True,UP,True
2026-07-07,11:35,13:30,13:40,830.25,830.4,831.2289,UP,UP,True,UP,True
2026-07-07,11:45,13:40,13:50,830.4,828.65,830.74384,UP,DOWN,False,DOWN,False
2026-07-07,11:55,13:50,14:00,828.65,831.6,829.8058,UP,UP,True,UP,True
2026-07-07,12:05,14:00,14:10,831.6,831.85,829.88007,DOWN,UP,False,UP,False
2026-07-07,12:15,14:10,14:20,831.85,831.6,831.7239,DOWN,DOWN,True,UP,False
2026-07-07,12:25,14:20,14:30,831.6,831.75,831.35065,DOWN,UP,False,DOWN,True
2026-07-07,12:35,14:30,14:40,831.75,832.15,831.14746,DOWN,UP,False,DOWN,True
2026-07-07,12:45,14:40,14:50,832.15,832.4,831.78204,DOWN,UP,False,UP,False
2026-07-07,12:55,14:50,15:00,832.4,829.95,831.8711,DOWN,DOWN,True,DOWN,True
2026-07-07,13:05,15:00,15:10,829.95,829.3,830.2637,UP,DOWN,False,UP,True
2026-07-07,13:15,15:10,15:20,829.3,828.05,829.44464,UP,DOWN,False,DOWN,False
2026-07-08,09:15,11:10,11:20,828.15,826.85,827.93536,DOWN,DOWN,True,DOWN,True
2026-07-08,09:25,11:20,11:30,826.85,827.0,826.4326,DOWN,UP,False,DOWN,True
2026-07-08,09:35,11:30,11:40,827.0,826.45,827.1345,UP,DOWN,False,UP,True
2026-07-08,09:45,11:40,11:50,826.45,826.95,827.01605,UP,UP,True,UP,True
2026-07-08,09:55,11:50,12:00,826.95,826.95,827.69794,UP,DOWN,False,DOWN,False
2026-07-08,10:05,12:00,12:10,826.95,826.6,826.9375,DOWN,DOWN,True,DOWN,True
2026-07-08,10:15,12:10,12:20,826.6,827.05,827.4796,UP,UP,True,UP,True
2026-07-08,10:25,12:20,12:30,827.05,825.5,827.13556,UP,DOWN,False,UP,True
2026-07-08,10:35,12:30,12:40,825.5,826.4,826.2106,UP,UP,True,UP,True
2026-07-08,10:45,12:40,12:50,826.4,826.95,827.0325,UP,UP,True,DOWN,False
