,open,high,low,close,volume,amount
2026-07-27 09:15:00,735.2106,741.7909,736.03503,739.3181,8.948115e+06,5.6691067e+09
2026-07-27 10:15:00,738.2696,741.0809,736.96655,738.32654,5.8303995e+06,3.8092628e+09
2026-07-27 11:15:00,738.4777,741.4118,738.5793,740.3815,3.885116e+06,2.6573373e+09
2026-07-27 12:15:00,740.253,742.9684,739.84503,741.66364,3.5192845e+06,2.4268943e+09
2026-07-27 13:15:00,741.7547,743.23206,739.90106,740.66864,5.497482e+06,3.717971e+09
2026-07-27 14:15:00,740.11273,741.86505,739.69385,740.36896,4.5143085e+06,3.0950395e+09
2026-07-27 15:15:00,741.6188,743.3133,740.06946,740.41406,3.411234e+06,2.4224947e+09
