timestamps,actual_close,predicted_close,error
2026-07-06 10:15:00,822.5,813.37054,-9.12945556640625
2026-07-06 11:15:00,827.5,819.25916,-8.2408447265625
2026-07-06 12:15:00,829.6,823.06586,-6.534143066406273
2026-07-06 13:15:00,828.65,823.82404,-4.825964355468727
2026-07-06 14:15:00,830.35,827.425,-2.9250122070312727
2026-07-06 15:15:00,828.0,828.1821,0.18212890625
2026-07-07 10:15:00,837.45,838.84814,1.3981445312499545
2026-07-07 11:15:00,836.85,836.51355,-0.33645019531252274
2026-07-07 12:15:00,830.4,839.67474,9.274743652343773
2026-07-07 13:15:00,831.85,830.2833,-1.5666748046875227
2026-07-07 14:15:00,829.3,829.5403,0.24028320312504547
2026-07-07 15:15:00,827.5,829.7658,2.26580810546875
2026-07-08 10:15:00,828.15,825.9816,-2.1683715820312273
2026-07-08 11:15:00,826.6,830.9082,4.308203124999977
2026-07-08 12:15:00,827.5,829.29034,1.79034423828125
2026-07-08 13:15:00,812.85,828.2726,15.422583007812477
2026-07-08 14:15:00,811.15,818.47327,7.323266601562523
2026-07-08 15:15:00,809.45,813.4494,3.9994018554687045
2026-07-09 10:15:00,819.0,814.83026,-4.16973876953125
2026-07-09 11:15:00,819.75,818.2235,-1.5264892578125
2026-07-09 12:15:00,821.1,826.55005,5.450048828124977
2026-07-09 13:15:00,821.0,820.0736,-0.9263916015625
2026-07-09 14:15:00,816.55,823.10266,6.5526611328125455
2026-07-09 15:15:00,817.0,814.08466,-2.91534423828125
2026-07-10 10:15:00,825.05,825.719,0.6689941406250455
2026-07-10 11:15:00,823.9,824.03204,0.13204345703127274
2026-07-10 12:15:00,824.1,822.94415,-1.1558471679687727
2026-07-10 13:15:00,825.05,822.40686,-2.6431396484374545
2026-07-10 14:15:00,825.0,823.1536,-1.84637451171875
2026-07-10 15:15:00,824.5,825.47125,0.97125244140625
2026-07-13 10:15:00,820.0,820.8841,0.88409423828125
2026-07-13 11:15:00,818.85,822.1067,3.2566894531249773
2026-07-13 12:15:00,818.95,822.2478,3.2978027343749545
2026-07-13 13:15:00,819.0,821.486,2.48602294921875
2026-07-13 14:15:00,817.4,819.14484,1.7448364257812727
2026-07-13 15:15:00,817.25,818.73285,1.48284912109375
2026-07-14 10:15:00,816.7,817.5545,0.8545043945312045
2026-07-14 11:15:00,810.85,819.00055,8.150549316406227
2026-07-14 12:15:00,811.95,812.1115,0.16151123046870453
2026-07-14 13:15:00,810.25,810.6043,0.35430908203125
2026-07-14 14:15:00,809.65,814.84454,5.194543457031273
2026-07-14 15:15:00,809.0,809.2263,0.226318359375
2026-07-15 10:15:00,816.45,814.0084,-2.4415771484375455
2026-07-15 11:15:00,819.0,816.13983,-2.86016845703125
2026-07-15 12:15:00,811.25,817.86774,6.61773681640625
2026-07-15 13:15:00,815.4,813.7542,-1.6457885742187273
2026-07-15 14:15:00,815.85,817.3195,1.4695190429687273
2026-07-15 15:15:00,815.0,811.83185,-3.16815185546875
2026-07-16 10:15:00,813.8,810.892,-2.9079711914062045
2026-07-16 11:15:00,811.8,814.62024,2.8202392578125455
2026-07-16 12:15:00,809.75,813.8312,4.0811767578125
2026-07-16 13:15:00,808.95,810.8666,1.9165771484374545
2026-07-16 14:15:00,808.45,810.81146,2.3614624023437045
2026-07-16 15:15:00,808.45,809.8733,1.4232910156249545
2026-07-17 10:15:00,817.45,818.54956,1.0995605468749545
2026-07-17 11:15:00,817.8,815.8099,-1.9901245117187045
2026-07-17 12:15:00,818.7,817.54913,-1.1508666992187955
2026-07-17 13:15:00,819.4,818.7133,-0.6866821289062273
2026-07-17 14:15:00,819.1,817.4054,-1.6946044921875227
2026-07-17 15:15:00,820.8,819.00757,-1.7924316406249545
