date,given_end_price,actual_close,predicted_close,error
2026-07-06,829.6,828.0,829.2196,1.2196044921875
2026-07-07,830.4,827.5,830.68854,3.18853759765625
2026-07-08,827.5,809.45,828.00543,18.555432128906205
2026-07-09,821.1,817.0,821.7887,4.7886962890625
2026-07-10,824.1,824.5,823.82434,-0.6756591796875
2026-07-13,818.95,817.25,818.5288,1.27880859375
2026-07-14,811.95,809.0,812.23883,3.23883056640625
2026-07-15,811.25,815.0,811.6386,-3.36138916015625
2026-07-16,809.75,808.45,809.7804,1.3303955078124545
2026-07-17,818.7,820.8,818.35547,-2.4445312499999545
