timestamps,open,high,low,close,volume,amount
2026-07-24 09:15:00,738.5,744.8,738.0,738.55,7146421,5279321427.55
2026-07-24 10:15:00,738.55,742.0,737.25,741.0,2758482,2044034322.0
2026-07-24 11:15:00,741.0,741.9,740.4,741.1,1629149,1207237779.9
2026-07-24 12:15:00,741.05,746.7,741.05,746.1,3050940,2275946334.0
2026-07-24 13:15:00,746.1,748.25,745.2,746.9,2576958,1924724696.2
2026-07-24 14:15:00,747.0,747.0,741.8,743.05,3781810,2810660145.5
2026-07-24 15:15:00,743.05,744.3,742.3,743.5,2355471,1751043418.5
